angle,pesos_first,pesos_second
-48.5,[ 1.18040322  0.04474923 -0.18165693  0.01798942],[ 1.10817486  0.05410938 -0.35969475  0.01145114]
-48.4,[ 1.17947927  0.04464456 -0.18123202  0.01794734],[ 1.10918696  0.05427904 -0.36082261  0.01148705]
-48.3,[ 1.17856011  0.04454043 -0.18080931  0.01790548],[ 1.11019028  0.05444724 -0.36194068  0.01152264]
-48.2,[ 1.17764456  0.04443671 -0.18038827  0.01786378],[ 1.11118613  0.05461418 -0.36305044  0.01155797]
-48.1,[ 1.17673264  0.0443334  -0.17996889  0.01782225],[ 1.11217458  0.05477988 -0.36415194  0.01159304]
-48.0,[ 1.17582432  0.0442305  -0.17955116  0.01778088],[ 1.11315566  0.05494435 -0.36524523  0.01162784]
-47.9,[ 1.17491845  0.04412788 -0.17913457  0.01773963],[ 1.11413067  0.05510779 -0.36633177  0.01166244]
-47.8,[ 1.17401733  0.04402579 -0.17872016  0.01769859],[ 1.11509717  0.05526981 -0.36740881  0.01169672]
-47.7,[ 1.17311981  0.04392411 -0.1783074   0.01765772],[ 1.11605644  0.05543062 -0.36847779  0.01173076]
-47.6,[ 1.17222587  0.04382284 -0.17789629  0.017617  ],[ 1.11700853  0.05559023 -0.36953879  0.01176453]
-47.5,[ 1.17133551  0.04372197 -0.17748683  0.01757645],[ 1.1179535   0.05574864 -0.37059183  0.01179806]
-47.4,[ 1.17044757  0.04362138 -0.17707848  0.01753602],[ 1.1188926   0.05590607 -0.37163835  0.01183137]
-47.3,[ 1.16956436  0.04352132 -0.1766723   0.01749579],[ 1.11982343  0.05606211 -0.37267564  0.0118644 ]
-47.2,[ 1.16868355  0.04342154 -0.17626723  0.01745568],[ 1.12074849  0.05621719 -0.3737065   0.01189722]
-47.1,[ 1.16780746  0.04332229 -0.17586433  0.01741578],[ 1.12166537  0.05637089 -0.37472825  0.01192974]
-47.0,[ 1.16693377  0.04322331 -0.17546253  0.01737599],[ 1.12257655  0.05652364 -0.37574365  0.01196207]
-46.9,[ 1.16606363  0.04312473 -0.17506237  0.01733636],[ 1.12348086  0.05667523 -0.37675139  0.01199415]
-46.8,[ 1.16519587  0.04302643 -0.1746633   0.01729684],[ 1.12437953  0.05682588 -0.37775285  0.01202603]
-46.7,[ 1.16433282  0.04292865 -0.17426639  0.01725754],[ 1.12527022  0.0569752  -0.37874541  0.01205763]
-46.6,[ 1.16347214  0.04283115 -0.17387058  0.01721834],[ 1.12615535  0.05712358 -0.37973178  0.01208903]
-46.5,[ 1.162615    0.04273404 -0.17347639  0.0171793 ],[ 1.12703377  0.05727083 -0.38071068  0.0121202 ]
-46.4,[ 1.16176139  0.04263734 -0.17308383  0.01714043],[ 1.12790552  0.05741697 -0.38168213  0.01215113]
-46.3,[ 1.16091014  0.04254091 -0.17269235  0.01710166],[ 1.12877183  0.0575622  -0.38264752  0.01218186]
-46.2,[ 1.16006241  0.04244487 -0.1723025   0.01706305],[ 1.12963153  0.05770632 -0.38360556  0.01221236]
-46.1,[ 1.15921821  0.04234923 -0.17191426  0.0170246 ],[ 1.13048469  0.05784934 -0.3845563   0.01224263]
-46.0,[ 1.15837635  0.04225386 -0.1715271   0.01698627],[ 1.1313325   0.05799146 -0.38550108  0.0122727 ]
-45.9,[ 1.15753801  0.04215888 -0.17114156  0.01694809],[ 1.13217383  0.0581325  -0.38643863  0.01230255]
-45.8,[ 1.15670318  0.04206431 -0.17075764  0.01691007],[ 1.13300871  0.05827246 -0.38736901  0.01233217]
-45.7,[ 1.1558707   0.04197    -0.17037479  0.01687215],[ 1.13383835  0.05841153 -0.38829354  0.0123616 ]
-45.6,[ 1.15504055  0.04187595 -0.16999302  0.01683435],[ 1.13466278  0.05854974 -0.38921226  0.01239085]
