angle,pesos_first,pesos_second
-54.9,[ 1.10296528  0.0383973  -0.14931118  0.01568154],[ 0.9508914   0.02903842 -0.18532888  0.00656484]
-54.8,[ 1.10210085  0.03829278 -0.14890475  0.01563886],[ 0.95210679  0.02925168 -0.18668995  0.00661306]
-54.7,[ 1.10124134  0.03818886 -0.14850063  0.01559641],[ 0.95331073  0.02946293 -0.18803819  0.00666081]
-54.6,[ 1.10038673  0.03808553 -0.14809882  0.01555421],[ 0.95450333  0.02967219 -0.18937373  0.00670812]
-54.5,[ 1.09953781  0.03798288 -0.14769968  0.01551229],[ 0.95568357  0.02987928 -0.19069543  0.00675494]
-54.4,[ 1.09869291  0.03788072 -0.14730243  0.01547057],[ 0.95685384  0.03008462 -0.19200596  0.00680136]
-54.3,[ 1.09785282  0.03777915 -0.14690744  0.01542909],[ 0.9580131   0.03028803 -0.19330417  0.00684735]
-54.2,[ 1.09701835  0.03767825 -0.1465151   0.01538788],[ 0.95916034  0.03048933 -0.19458892  0.00689286]
-54.1,[ 1.09618782  0.03757783 -0.14612461  0.01534687],[ 0.96029792  0.03068894 -0.19586285  0.00693798]
-54.0,[ 1.09536204  0.03747799 -0.14573635  0.01530609],[ 0.96142482  0.03088667 -0.19712481  0.00698269]
-53.9,[ 1.09454097  0.03737871 -0.1453503   0.01526555],[ 0.96254112  0.03108254 -0.19837492  0.00702697]
-53.8,[ 1.0937246   0.03728    -0.14496647  0.01522524],[ 0.96364695  0.03127658 -0.19961328  0.00707083]
-53.7,[ 1.09291291  0.03718186 -0.14458484  0.01518515],[ 0.96474238  0.03146879 -0.20084001  0.00711429]
-53.6,[ 1.09210506  0.03708418 -0.14420501  0.01514526],[ 0.96582862  0.03165939 -0.20205645  0.00715738]
-53.5,[ 1.09130184  0.03698706 -0.14382736  0.0151056 ],[ 0.96690466  0.0318482  -0.20326146  0.00720006]
-53.4,[ 1.09050324  0.0368905  -0.14345187  0.01506616],[ 0.96797059  0.03203523 -0.20445515  0.00724235]
-53.3,[ 1.08970922  0.0367945  -0.14307855  0.01502695],[ 0.96902651  0.03222051 -0.20563763  0.00728423]
-53.2,[ 1.08891898  0.03669895 -0.142707    0.01498793],[ 0.97007358  0.03240423 -0.20681019  0.00732577]
-53.1,[ 1.08813247  0.03660385 -0.14233721  0.01494909],[ 0.97111187  0.03258642 -0.20797293  0.00736696]
-53.0,[ 1.08735051  0.03650931 -0.14196955  0.01491048],[ 0.97214039  0.03276689 -0.20912473  0.00740776]
-52.9,[ 1.08657226  0.03641521 -0.14160364  0.01487205],[ 0.9731603   0.03294585 -0.21026689  0.00744821]
-52.8,[ 1.08579852  0.03632165 -0.14123985  0.01483384],[ 0.97417062  0.03312312 -0.2113983   0.00748829]
-52.7,[ 1.08502926  0.03622864 -0.14087816  0.01479586],[ 0.97517142  0.03329873 -0.21251905  0.00752799]
-52.6,[ 1.08426286  0.03613598 -0.14051782  0.01475801],[ 0.97616489  0.03347305 -0.21363159  0.0075674 ]
-52.5,[ 1.08350092  0.03604385 -0.14015958  0.01472039],[ 0.97714899  0.03364573 -0.21473364  0.00760644]
-52.4,[ 1.08274261  0.03595216 -0.13980304  0.01468294],[ 0.97812484  0.03381696 -0.21582646  0.00764515]
-52.3,[ 1.08198873  0.03586101 -0.13944859  0.01464571],[ 0.97909149  0.03398657 -0.21690897  0.00768349]
-52.2,[ 1.08123765  0.03577019 -0.13909545  0.01460863],[ 0.98005107  0.03415494 -0.21798356  0.00772156]
-52.1,[ 1.08049097  0.03567991 -0.13874439  0.01457176],[ 0.98100157  0.03432172 -0.21904799  0.00775926]
