angle,pesos_first,pesos_second
-54.1,[  7.17592410e-03  -5.78318015e-03  -7.29059913e-05  -1.75191716e-04],[  4.44379579e-04   2.82586661e-03   7.07586585e-05  -1.38655964e-03]
-54.0,[  7.15685730e-03  -5.76781395e-03  -7.27122764e-05  -1.74726223e-04],[  4.47242750e-04   2.84407388e-03   7.12145619e-05  -1.39549335e-03]
-53.9,[  7.13789947e-03  -5.75253556e-03  -7.25196685e-05  -1.74263390e-04],[  4.50079028e-04   2.86211014e-03   7.16661830e-05  -1.40434314e-03]
-53.8,[  7.11905009e-03  -5.73734457e-03  -7.23281625e-05  -1.73803204e-04],[  4.52888668e-04   2.87997699e-03   7.21135625e-05  -1.41310982e-03]
-53.7,[  7.10030864e-03  -5.72224057e-03  -7.21377530e-05  -1.73345654e-04],[  4.55671920e-04   2.89767605e-03   7.25567405e-05  -1.42179416e-03]
-53.6,[  7.08165588e-03  -5.70720804e-03  -7.19482446e-05  -1.72890269e-04],[  4.58431804e-04   2.91522651e-03   7.29961973e-05  -1.43040559e-03]
-53.5,[  7.06311010e-03  -5.69226173e-03  -7.17598231e-05  -1.72437495e-04],[  4.61165767e-04   2.93261213e-03   7.34315269e-05  -1.43893614e-03]
-53.4,[  7.04467084e-03  -5.67740127e-03  -7.15724838e-05  -1.71987323e-04],[  4.63874049e-04   2.94983444e-03   7.38627673e-05  -1.44738657e-03]
-53.3,[  7.02633764e-03  -5.66262628e-03  -7.13862220e-05  -1.71539739e-04],[  4.66556887e-04   2.96689495e-03   7.42899561e-05  -1.45575760e-03]
-53.2,[  7.00809135e-03  -5.64792133e-03  -7.12008432e-05  -1.71094277e-04],[  4.69217236e-04   2.98381245e-03   7.47135641e-05  -1.46405846e-03]
-53.1,[  6.98993156e-03  -5.63328610e-03  -7.10163434e-05  -1.70650928e-04],[  4.71855289e-04   3.00058817e-03   7.51336219e-05  -1.47228975e-03]
-53.0,[  6.97187658e-03  -5.61873533e-03  -7.08329083e-05  -1.70210137e-04],[  4.74468539e-04   3.01720616e-03   7.55497303e-05  -1.48044365e-03]
-52.9,[  6.95390732e-03  -5.60425365e-03  -7.06503441e-05  -1.69771438e-04],[  4.77059897e-04   3.03368493e-03   7.59623527e-05  -1.48852924e-03]
-52.8,[  6.93604208e-03  -5.58985579e-03  -7.04688367e-05  -1.69335280e-04],[  4.79626870e-04   3.05000864e-03   7.63710924e-05  -1.49653875e-03]
-52.7,[  6.91828046e-03  -5.57554145e-03  -7.02883822e-05  -1.68901651e-04],[  4.82169676e-04   3.06617867e-03   7.67759839e-05  -1.50447285e-03]
-52.6,[  6.90058481e-03  -5.56128026e-03  -7.01085977e-05  -1.68469632e-04],[  4.84693836e-04   3.08223013e-03   7.71779065e-05  -1.51234877e-03]
-52.5,[  6.88299206e-03  -5.54710202e-03  -6.99298589e-05  -1.68040126e-04],[  4.87194208e-04   3.09813032e-03   7.75760414e-05  -1.52015047e-03]
-52.4,[  6.86548325e-03  -5.53299142e-03  -6.97519728e-05  -1.67612669e-04],[  4.89673633e-04   3.11389730e-03   7.79708407e-05  -1.52788680e-03]
-52.3,[  6.84807666e-03  -5.51896320e-03  -6.95751252e-05  -1.67187708e-04],[  4.92129661e-04   3.12951549e-03   7.83619146e-05  -1.53555014e-03]
-52.2,[  6.83073474e-03  -5.50498709e-03  -6.93989347e-05  -1.66764325e-04],[  4.94567716e-04   3.14501940e-03   7.87501266e-05  -1.54315739e-03]
-52.1,[  6.81349440e-03  -5.49109286e-03  -6.92237762e-05  -1.66343423e-04],[  4.96982733e-04   3.16037680e-03   7.91346704e-05  -1.55069276e-03]
-52.0,[  6.79633673e-03  -5.47726524e-03  -6.90494576e-05  -1.65924538e-04],[  4.99377500e-04   3.17560543e-03   7.95159896e-05  -1.55816495e-03]
-51.9,[  6.77926144e-03  -5.46350402e-03  -6.88759759e-05  -1.65507665e-04],[  5.01752179e-04   3.19070632e-03   7.98941103e-05  -1.56557446e-03]
-51.8,[  6.76228680e-03  -5.44982392e-03  -6.87035170e-05  -1.65093250e-04],[  5.04104364e-04   3.20566416e-03   8.02686491e-05  -1.57291378e-03]
-51.7,[  6.74537541e-03  -5.43619479e-03  -6.85317005e-05  -1.64680378e-04],[  5.06439359e-04   3.22051269e-03   8.06404510e-05  -1.58019947e-03]
