angle,pesos_first,pesos_second
-53.5,[ 0.01009016 -0.0081318  -0.00010251 -0.00024634],[ 0.00065881  0.00418945  0.0001049  -0.00205562]
-53.4,[ 0.01006382 -0.00811057 -0.00010225 -0.0002457 ],[ 0.00066268  0.00421405  0.00010552 -0.0020677 ]
-53.3,[ 0.01003763 -0.00808947 -0.00010198 -0.00024506],[ 0.00066651  0.00423842  0.00010613 -0.00207965]
-53.2,[ 0.01001156 -0.00806846 -0.00010172 -0.00024442],[ 0.00067031  0.00426259  0.00010673 -0.00209151]
-53.1,[ 0.00998562 -0.00804755 -0.00010145 -0.00024379],[ 0.00067408  0.00428655  0.00010733 -0.00210327]
-53.0,[ 0.00995982 -0.00802676 -0.00010119 -0.00024316],[ 0.00067781  0.00431029  0.00010793 -0.00211492]
-52.9,[ 0.00993415 -0.00800608 -0.00010093 -0.00024253],[ 0.00068151  0.00433384  0.00010852 -0.00212647]
-52.8,[ 0.00990863 -0.00798551 -0.00010067 -0.00024191],[ 0.00068518  0.00435716  0.0001091  -0.00213791]
-52.7,[ 0.00988326 -0.00796506 -0.00010041 -0.00024129],[ 0.00068881  0.00438026  0.00010968 -0.00214925]
-52.6,[ 0.00985798 -0.00794469 -0.00010016 -0.00024067],[ 0.00069242  0.00440319  0.00011025 -0.0021605 ]
-52.5,[  9.83284580e-03  -7.92443146e-03  -9.98997984e-05  -2.40057323e-04],[ 0.00069599  0.0044259   0.00011082 -0.00217164]
-52.4,[  9.80783322e-03  -7.90427345e-03  -9.96456754e-05  -2.39446670e-04],[ 0.00069953  0.00444842  0.00011139 -0.0021827 ]
-52.3,[  9.78296666e-03  -7.88423314e-03  -9.93930360e-05  -2.38839582e-04],[ 0.00070304  0.00447074  0.00011195 -0.00219364]
-52.2,[  9.75819249e-03  -7.86426728e-03  -9.91413352e-05  -2.38234750e-04],[ 0.00070653  0.00449288  0.0001125  -0.00220451]
-52.1,[  9.73356343e-03  -7.84441837e-03  -9.88911088e-05  -2.37633461e-04],[ 0.00070998  0.00451482  0.00011305 -0.00221528]
-52.0,[  9.70905247e-03  -7.82466463e-03  -9.86420822e-05  -2.37035055e-04],[ 0.0007134   0.00453658  0.00011359 -0.00222595]
-51.9,[  9.68465919e-03  -7.80500574e-03  -9.83942513e-05  -2.36439522e-04],[ 0.00071679  0.00455815  0.00011413 -0.00223653]
-51.8,[  9.66040972e-03  -7.78546274e-03  -9.81478814e-05  -2.35847499e-04],[ 0.00072015  0.00457952  0.00011467 -0.00224702]
-51.7,[  9.63625059e-03  -7.76599255e-03  -9.79024293e-05  -2.35257683e-04],[ 0.00072348  0.00460073  0.0001152  -0.00225743]
-51.6,[  9.61220795e-03  -7.74661625e-03  -9.76581608e-05  -2.34670710e-04],[ 0.00072679  0.00462177  0.00011573 -0.00226775]
